algUtl;permutacao;tamConjTreino;prctgDup;prctgNaoDup;tamConjTeste
10;10;107;57.94;42.06;476
10;11;73;57.53;42.47;869
10;12;50;74.0;26.0;704
10;13;44;75.0;25.0;525
10;14;82;64.63;35.37;616
10;15;48;87.5;12.5;593
10;16;39;97.44;2.56;178
10;17;40;75.0;25.0;411
10;18;43;88.37;11.63;679
10;19;80;53.75;46.25;506
10;20;69;68.12;31.88;757
15;10;91;57.14;42.86;870
15;11;117;57.26;42.74;259
15;12;97;56.7;43.3;957
15;13;117;63.25;36.75;686
15;14;42;66.67;33.33;649
15;15;143;53.15;46.85;880
15;16;117;56.41;43.59;752
15;17;42;69.05;30.95;690
15;18;131;47.33;52.67;803
15;19;72;54.17;45.83;992
15;20;82;52.44;47.56;977
20;10;151;54.3;45.7;932
20;11;104;53.85;46.15;989
20;12;128;50.78;49.22;824
20;13;116;53.45;46.55;925
20;14;111;48.65;51.35;983
20;15;125;57.6;42.4;951
20;16;145;53.1;46.9;882
20;17;133;55.64;44.36;729
20;18;86;48.84;51.16;867
20;19;82;48.78;51.22;889
20;20;112;52.68;47.32;980
